stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
1.0,0.0,0.0,3.0,2.0,69.0,5.0,132039.0,1811.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,1427386340.0,1580831928.0
1.0,2.0,1.0,2.0,2.0,550.0,4.0,779.0,2224.0,0.0,0.0,0.0,0.0,7.0,0.0,90.0,0.0,0.0,0.0,1.0,1427338609.0,1579052037.0
1.0,0.0,0.0,1.0,0.0,1043.0,4.0,124026.0,84.0,0.0,0.0,0.0,544.0,7.0,2.0,47.0,1.0,0.0,1.0,1.0,1427408129.0,1580645872.0
1.0,0.0,0.0,72.0,2.0,15.0,8.0,335.0,8215.0,0.0,0.0,0.0,0.0,7.0,0.0,110.0,0.0,1.0,1.0,1.0,1427397256.0,1580440567.0
10783.0,251.0,4605.0,8984.0,2231.0,3556.0,900.0,86014.0,9657.0,26.0,7.0,17.0,1.0,40.0,0.0,24.0,0.0,1.0,1.0,1.0,1427433726.0,1581967800.0
2.0,0.0,0.0,1.0,3.0,154.0,1.0,242.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,1.0,0.0,1.0,1.0,1427568914.0,1581962250.0
371.0,41.0,743.0,94.0,900.0,19348.0,34.0,36860.0,5075.0,20.0,2.0,46.0,0.0,55.0,7.0,53.0,1.0,0.0,1.0,1.0,1427642868.0,1581938441.0
2693.0,0.0,38.0,1637.0,18.0,272.0,117.0,325.0,1561.0,0.0,0.0,0.0,0.0,7.0,8.0,60.0,1.0,1.0,1.0,1.0,1427429329.0,1581959830.0
1941.0,164.0,236.0,374.0,706.0,2005.0,220.0,206293.0,15761.0,42.0,0.0,2.0,0.0,20.0,5.0,54.0,1.0,1.0,1.0,1.0,1427492925.0,1581960765.0
1339.0,32.0,72.0,170.0,57.0,993.0,51.0,26524.0,19018.0,0.0,0.0,0.0,138.0,7.0,2.0,27.0,1.0,1.0,1.0,1.0,1427453966.0,1581756744.0
1239.0,5.0,45.0,179.0,44.0,840.0,64.0,2741.0,6289.0,4.0,0.0,0.0,0.0,7.0,0.0,47.0,1.0,1.0,0.0,1.0,1427479762.0,1581864490.0
1224.0,157.0,448.0,227.0,179.0,1222.0,122.0,72678.0,62268.0,28.0,0.0,0.0,0.0,11.0,2.0,68.0,0.0,1.0,1.0,1.0,1427479273.0,1581971122.0
1174.0,81.0,607.0,897.0,165.0,495.0,85.0,15130.0,7596.0,11.0,0.0,1.0,0.0,31.0,0.0,52.0,0.0,1.0,1.0,1.0,1427493989.0,1581924790.0
985.0,11.0,385.0,132.0,81.0,385.0,27.0,8095.0,2380.0,35.0,2.0,15.0,0.0,9.0,3.0,37.0,1.0,1.0,1.0,1.0,1427468796.0,1581971655.0
900.0,339.0,2521.0,247.0,170.0,6563.0,96.0,215822.0,7563.0,17.0,0.0,14.0,0.0,16.0,6.0,131.0,1.0,1.0,1.0,1.0,1427441862.0,1581905270.0
2.0,0.0,0.0,1.0,1.0,100.0,1.0,367.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,31.0,0.0,0.0,0.0,1.0,1427634556.0,1579587386.0
130.0,6.0,60.0,49.0,103.0,274.0,31.0,31657.0,6866.0,0.0,0.0,0.0,0.0,11.0,0.0,34.0,0.0,0.0,1.0,1.0,1427703894.0,1581560469.0
640.0,31.0,80.0,89.0,16.0,291.0,10.0,571.0,9658.0,11.0,0.0,2.0,0.0,8.0,7.0,72.0,1.0,0.0,1.0,1.0,1427422234.0,1581698561.0
472.0,27.0,58.0,443.0,243.0,672.0,133.0,14613.0,427.0,0.0,0.0,3.0,0.0,8.0,0.0,46.0,0.0,0.0,1.0,1.0,1427435280.0,1581645619.0
271.0,97.0,643.0,100.0,113.0,3356.0,48.0,22255.0,9986.0,172.0,4.0,2.0,1.0,32.0,9.0,61.0,1.0,1.0,1.0,1.0,1427454150.0,1581281563.0
189.0,11.0,9.0,22.0,17.0,76.0,14.0,96.0,10051.0,0.0,0.0,0.0,0.0,8.0,0.0,41.0,0.0,1.0,1.0,1.0,1427439909.0,1581744190.0
174.0,41.0,30.0,56.0,697.0,9932.0,30.0,152236.0,12551.0,23.0,0.0,0.0,0.0,9.0,0.0,73.0,1.0,0.0,1.0,1.0,1427445102.0,1581701870.0
156.0,3.0,21.0,5.0,46.0,985.0,16.0,3555.0,80102.0,0.0,0.0,0.0,1.0,8.0,4.0,88.0,1.0,1.0,1.0,1.0,1427493732.0,1581744071.0
152.0,3.0,41.0,28.0,34.0,658.0,7.0,993.0,52130.0,0.0,0.0,1.0,205.0,8.0,0.0,184.0,0.0,1.0,1.0,1.0,1427442581.0,1581625752.0
149.0,4.0,5.0,32.0,42.0,95.0,51.0,183.0,8230.0,10.0,0.0,0.0,0.0,7.0,0.0,80.0,1.0,1.0,0.0,1.0,1427478865.0,1580780693.0
137.0,0.0,1.0,51.0,2.0,203.0,20.0,1575.0,357.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,1.0,1.0,1427432057.0,1580782764.0
101.0,14.0,5.0,18.0,774.0,2591.0,7.0,17885.0,4350.0,0.0,0.0,0.0,0.0,11.0,6.0,20.0,1.0,0.0,1.0,1.0,1427478185.0,1581927362.0
74.0,10.0,13.0,24.0,49.0,178.0,7.0,127.0,4898.0,0.0,0.0,0.0,0.0,10.0,2.0,42.0,0.0,0.0,1.0,1.0,1427490149.0,1580930989.0
55.0,7.0,5.0,65.0,15.0,88.0,24.0,66.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,34.0,1.0,0.0,1.0,1.0,1427450313.0,1581597817.0
47.0,0.0,164.0,80.0,617.0,92.0,6.0,66616.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0,1.0,1427481073.0,1579217316.0
100.0,0.0,15.0,52.0,0.0,392.0,20.0,1901.0,5995.0,8.0,0.0,0.0,0.0,7.0,0.0,249.0,0.0,0.0,1.0,1.0,1427470115.0,1580993961.0
79.0,0.0,0.0,19.0,24.0,683.0,10.0,156796.0,13936.0,13.0,0.0,0.0,0.0,8.0,0.0,40.0,1.0,1.0,0.0,0.0,1427499631.0,1580660567.0
74.0,11.0,204.0,94.0,89.0,658.0,87.0,13770.0,2550.0,20.0,2.0,0.0,46.0,26.0,0.0,83.0,1.0,1.0,1.0,1.0,1427464941.0,1581693193.0
74.0,1.0,6.0,95.0,966.0,3041.0,29.0,209663.0,6090.0,10.0,0.0,0.0,0.0,7.0,7.0,49.0,0.0,1.0,1.0,1.0,1427478954.0,1580732502.0
69.0,18.0,110.0,52.0,64.0,262.0,41.0,670.0,14136.0,32.0,0.0,5.0,0.0,10.0,10.0,143.0,0.0,1.0,1.0,1.0,1427481142.0,1581431224.0
62.0,72.0,78.0,22.0,0.0,50.0,9.0,91446.0,1284.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,1.0,1.0,1.0,1.0,1427459504.0,1578624068.0
54.0,7.0,97.0,24.0,13.0,366.0,9.0,815.0,5592.0,32.0,0.0,2.0,0.0,14.0,5.0,96.0,1.0,1.0,1.0,1.0,1427466262.0,1581770957.0
45.0,8.0,1.0,14.0,2.0,681.0,25.0,61055.0,1785.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,1427491076.0,1581616816.0
