stargazers,openissues,closedissues,forkCount,pullRequests,commitnum,watchers,diskUsage_kb,readme_bytes,releases,projects,milestones,deployments,issuelabels,repositoryTopics,descr_len,hasUrl,hasLicense,hasWiki,hasIssue,created,updated
9,10,68,2,1020,1360.0,1,7328,2788,0,0,1,194,20,10,130,1,1,0,1,1427455457,1581542814
8,3,16,17,33,497.0,8,8353,4186,0,0,0,0,7,0,19,0,1,1,1,1427489401,1581525841
7,0,1,3,1,189.0,3,652,3456,15,0,0,0,7,3,203,0,1,1,1,1427488755,1581238769
7,0,0,21,62,368.0,7,21081,0,0,0,0,0,7,0,28,0,0,0,0,1427416590,1581018287
6,1,0,24,146,2440.0,9,13828,7918,0,0,0,0,7,0,65,0,0,1,1,1427418878,1581818097
5,1,0,4,0,11.0,2,9,1226,0,0,0,0,7,0,47,0,0,1,1,1427474452,1580126679
5,0,0,8,5,107.0,4,81899,25,0,0,0,0,7,0,0,0,0,1,1,1427471169,1578087565
5,0,0,0,0,20627.0,5,124246,341,0,0,0,207,7,7,31,1,0,1,1,1427473863,1578992998
6,0,11,7,8,101.0,2,196,626,0,0,0,0,7,0,52,0,1,1,1,1427472999,1581635023
6,0,0,1,0,126.0,4,14352,3424,4,0,0,7,7,0,56,1,0,0,1,1427489153,1581593054
6,1,6,1,2,400.0,3,1877,422,0,0,0,0,11,0,38,0,1,0,1,1427470207,1580166594
5,0,21,2,3,485.0,3,740,851,0,0,0,13,10,0,24,0,1,1,1,1427469836,1580227896
4,4,7,1,0,1641.0,3,118745,603,0,0,0,0,7,8,51,1,1,1,1,1427440008,1581730107
2,0,1,0,0,60.0,2,696,1039,0,0,0,0,7,0,0,0,1,1,1,1427443216,1581806365
2,0,0,0,0,35.0,2,180,0,0,0,0,0,7,0,0,0,1,1,1,1427440170,1580193003
1,4,24,4,52,283.0,6,921,1829,0,0,0,0,7,0,95,0,1,1,1,1427462372,1579260154
1,0,0,0,0,1.0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,1428214758,1580327340
2,0,0,1,0,87.0,1,47836,112,13,0,0,0,7,0,25,0,0,1,1,1428290850,1579852716
5,0,2,3,3,21.0,1,17,1778,0,0,0,0,7,0,43,0,0,1,1,1428430150,1581015267
206,0,6,54,2,,43,9987,0,2,0,0,0,7,3,64,0,0,1,1,1428501672,1581294847
1,0,0,1,1,14.0,1,7,0,0,0,0,0,7,0,0,0,1,1,1,1427418160,1579389384
1,14,4,0,0,128.0,1,1161,687,0,0,0,0,21,4,62,1,0,0,1,1427424631,1579711575
1,0,0,0,0,12.0,1,1699,10046,0,0,0,0,7,0,276,0,0,0,0,1427417055,1580162252
1,0,0,0,0,5.0,2,107,0,0,0,0,0,7,0,161,0,0,0,0,1427438657,1581068388
1,0,0,3,1,27.0,2,28,2664,0,0,0,0,7,0,31,0,1,0,1,1427493162,1579039380
1,0,0,0,0,10.0,1,7,2420,0,0,0,0,7,0,29,0,1,1,1,1427497002,1581135384
1,0,0,0,0,43252.0,1,213984,4544,0,0,0,2,7,0,67,0,1,1,0,1427486639,1581633477
1,0,0,2,6,516.0,2,4472,0,2,0,0,0,7,0,31,0,1,1,1,1427475340,1580607131
1,0,0,0,26,966.0,1,67850,6179,0,0,0,5,8,0,59,0,1,1,0,1427461355,1580677201
1,0,0,1,0,125.0,1,93,124,0,0,0,0,7,0,42,0,0,1,1,1427565030,1581600095
1,0,0,1,0,20.0,1,16744,2495,0,0,0,0,7,0,20,0,0,0,1,1427536800,1579603485
56,5,30,11,33,992.0,15,2816,1537,18,0,2,0,7,4,46,0,0,1,1,1428490506,1581927808
1,0,0,0,0,,1,6156,0,0,0,0,104,7,0,16,1,1,1,1,1427454636,1579802997
1,2,0,0,0,23.0,1,476,0,0,0,0,0,7,0,0,0,0,1,1,1427476960,1578381745
1,0,0,0,0,110.0,1,963,0,0,0,0,0,7,0,87,0,0,1,1,1427464664,1578813690
1,0,0,0,0,21.0,2,3775,0,0,0,0,0,7,0,116,0,0,0,0,1427489056,1581068279
46822,2801,7099,17751,3880,5342.0,2065,13334,9666,22,1,0,0,26,6,24,1,0,1,1,1427502942,1581978667
10418,1077,4249,2614,1725,3341.0,603,183031,2082,52,0,3,0,27,4,29,1,0,1,1,1427501108,1581969754
9939,3,9,2721,34,138.0,357,226,63647,0,0,0,0,7,2,58,0,1,0,1,1427561560,1581953888
6419,61,154,1441,85,156.0,179,260,0,0,1,0,0,14,15,93,0,1,1,1,1427561428,1581960694
5065,136,802,830,460,827.0,179,1491,27593,6,0,4,0,21,16,89,0,1,1,1,1427554588,1581975243
3136,101,351,423,136,239.0,67,845,36372,51,0,4,0,26,0,30,0,1,1,1,1427565973,1581758253
2553,144,328,203,87,873.0,37,10261,1952,34,0,2,0,29,5,41,1,1,0,1,1427529648,1581864445
